,cycle,p.DCTL1.prog,p.DCTL1.death,p.ABL1.prog,p.ABL1.death,p.DCTL2.prog,p.DCTL2.death,p.ABL2.prog,p.ABL2.death,p.PD.death,cif.ABL2.prog,cif.ABL2.death,cif.DCTL2.prog,cif.DCTL2.death,cif.PD.death
57,57,0,0,0,0.006341086,0.010867659,0.001357434,0.013371232,0.001214028,0.058823529,0.658058596,0.147197318,0.806772033,0.319187925,0.907434358
58,58,0,0,0,0.001995691,0.010304488,0.001274834,0.013168979,0.001181111,0,0.662561616,0.148204572,0.808763148,0.320055847,0.907434358
59,59,0.011457802,0,0.000598163,0.00197187,0.009764942,0.00119716,0.012967128,0.001149048,0,0.666937222,0.149183326,0.810630565,0.32086985,0.907434358
60,60,0.024113163,0,0.007515847,0.001948287,0.009248604,0.001124132,0.012765759,0.00111782,0,0.671189021,0.150134386,0.812381968,0.321633282,0.907434358
61,61,0.025768822,0,0.00746744,0.00192494,0.008755003,0.001055482,0.012564953,0.001087407,0,0.675320516,0.151058536,0.814024564,0.322349285,0.907434358
62,62,0.013465667,0,0.007418983,0.001901829,0.008283619,0.000990955,0.012364792,0.001057789,0,0.67933511,0.151956538,0.815565114,0.323020807,0.907434358
63,63,0,0,0.007370481,0.001878951,0.00783389,0.000930314,0.012165353,0.001028948,0,0.683236112,0.15282913,0.817009956,0.32365061,0.907434358
64,64,0,0,0.007321937,0.001856306,0.007405218,0.00087333,0.011966714,0.001000864,0.058692996,0.687026735,0.153677033,0.818365038,0.324241286,0.912867313
65,65,0.015042269,0,0.007273358,0.001833893,0.006996981,0.00081979,0.011768952,0.000973519,0.037412252,0.690710102,0.154500944,0.819635934,0.324795267,0.916127143
66,66,0,0,0.007224748,0.00181171,0.006608531,0.000769491,0.011572142,0.000946895,0.037412252,0.694289249,0.155301542,0.820827876,0.325314831,0.919265015
67,67,0,0,0.007176111,0.001789755,0.006239206,0.000722242,0.011376358,0.000920974,0.037412252,0.697767124,0.156079488,0.821945767,0.325802117,0.922285493
68,68,0,0,0.007127452,0.001768027,0.005888332,0.000677862,0.011181671,0.00089574,0.037412252,0.701146592,0.156835422,0.82299421,0.326259131,0.925192967
69,69,0,0,0.007078776,0.001746525,0.005555229,0.000636181,0.010988152,0.000871176,0.037412252,0.704430439,0.157569967,0.823977518,0.326687752,0.927991667
70,70,0.018326393,0,0.007030088,0.001725247,0.005239214,0.000597038,0.01079587,0.000847264,0.037412252,0.707621369,0.158283727,0.824899737,0.327089745,0.930685661
71,71,0,0.009593673,0.006981393,0.001704192,0.004939606,0.000560281,0.01060489,0.000823989,0.037412252,0.710722013,0.158977292,0.825764663,0.327466764,0.933278866
72,72,0,0,0.006932695,0.001683359,0.004655729,0.000525768,0.010415278,0.000801335,0.037412252,0.713734923,0.159651233,0.826575856,0.327820361,0.935775054
73,73,0.020254642,0,0.006883999,0.001662746,0.004386914,0.000493364,0.010227097,0.000779285,0.037412252,0.716662584,0.160306104,0.827336652,0.32815199,0.938177854
74,74,0,0,0.00683531,0.001642351,0.004132505,0.000462942,0.010040406,0.000757826,0.037412252,0.719507407,0.160942446,0.828050185,0.328463017,0.94049076
75,75,0.023429824,0,0.006786632,0.001622173,0.003891855,0.000434383,0.009855264,0.000736942,0.037412252,0.722271735,0.161560783,0.828719388,0.328754721,0.942717134
76,76,0,0.012019954,0.006737971,0.001602211,0.003664333,0.000407574,0.009671727,0.000716618,0.037412252,0.724957847,0.162161624,0.829347018,0.329028303,0.944860215
77,77,0,0,0.006689331,0.001582463,0.003449325,0.000382409,0.009489849,0.000696841,0.037412252,0.727567956,0.162745464,0.829935655,0.329284889,0.946923119
78,78,0,0,0.006640717,0.001562927,0.003246232,0.000358789,0.009309682,0.000677596,0.037412252,0.730104211,0.163312784,0.830487723,0.329525534,0.948908844
79,79,0,0,0.006592134,0.001543602,0.003054474,0.00033662,0.009131274,0.00065887,0.037412252,0.732568704,0.163864052,0.831005494,0.329751229,0.95082028
80,80,0,0,0.006543586,0.001524487,0.002873491,0.000315814,0.008954673,0.000640649,0.037412252,0.734963463,0.164399722,0.831491098,0.329962903,0.952660204
81,81,0,0,0.006495078,0.001505579,0.002702741,0.000296287,0.008779922,0.000622921,0.037412252,0.737290464,0.164920235,0.831946534,0.330161426,0.954431292
82,82,0,0,0.006446615,0.001486878,0.002541702,0.000277963,0.008607064,0.000605673,0.037412252,0.739551621,0.165426021,0.832373676,0.330347616,0.95613612
83,83,0,0,0.006398202,0.001468382,0.002389872,0.000260766,0.008436138,0.000588892,0.037412252,0.7417488,0.165917495,0.832774282,0.330522239,0.957777167
84,84,0,0,0.006349843,0.001450088,0.00224677,0.00024463,0.008267181,0.000572567,0.037412252,0.743883809,0.166395063,0.833149999,0.330686013,0.959356818
85,85,0,0,0.006301542,0.001431997,0.002111934,0.000229489,0.008100228,0.000556685,0.037412252,0.745958409,0.166859118,0.833502376,0.330839613,0.960877371
86,86,0,0,0.006253305,0.001414106,0.001984921,0.000215281,0.00793531,0.000541235,0.037412252,0.747974308,0.167310042,0.83383286,0.330983671,0.962341036
87,87,0,0,0.006205136,0.001396413,0.00186531,0.00020195,0.007772458,0.000526205,0.037412252,0.749933167,0.167748208,0.834142814,0.331118779,0.963749943
